CaseID	CrashDate	CrashTime	VehicleCount	TruckCount	CarCount	NonMotoristCount	CrashType	CrashPARSevCode	CrashRESSevCode	Summary	Day	CollisionType	Treatment	OCCFatality	CRAAlcohol	AnyDrugsCrash	PSU	PSUStrata	RATWeight
803004433	2001-09-01	09:15	3	1	2	0	Multi-vehicle / multi-object -+- Rollover	2	2	A three-vehicle crash occurred on ten-lane urban interstate roadway shortly after 0900 hours mid-week.  Traffic was reportedly moving at a slow speed, which would be typical rush hour congestion in a large urban city at this time.  There were five lanes i	4	22	4	0	2	1	72	4	58.657
803004492	2001-09-01	11:30	1	1	0	0	Vehicle to object(s) -+- Rollover	3	3	A single vehicle crash occurred at approximately 1130 hours on an entrance ramp for an urban interstate.  This one lane, one-way ramp was constructed of asphalt and enters the northbound side of a six lane interstate that was divided by a raised concrete	5	57	4	0	2	2	72	4	32.201
803004572	2001-10-01	14:25	1	1	0	1	Vehicle to object(s) -+- Object on road	4	4	A single vehicle versus pedestrian crash occurred on a five lane, undivided, level urban city street that accommodated north and south traffic.  There were two straight through lanes in each direction and a left turn lane in the middle.  This road interse	6	57	0	0	2	2	72	4	9.937
803004573	2001-10-01	07:10	2	1	1	0	Vehicle to vehicle -+- Angle / sideswipe	4	4	A two-vehicle crash occurred during the morning rush hour at approximately 0700 hours in a four-way intersection of two urban municipal roadways.  The intersection is controlled by traffic control signals in all directions and no traffic congestion was re	7	30	1	1	1	2	72	4	9.937
803004652	2001-11-01	11:15	1	1	0	0	Vehicle to object(s) -+- Rollover	2	2	A single vehicle crash occurred on an urban interstate entrance ramp at approximately 1115 hours.  This on-ramp transitions from a surface street to the interstate and travels through a series of "S" curves.  This ramp was constructed of asphalt and curve	2	57	4	0	2	2	72	4	58.657
803004653	2001-11-01	11:15	4	1	3	0	Multi-vehicle / multi-object -+- Angle / sideswipe	1	2	A collision involving four vehicles occurred in the northbound lanes of a divided, straight, level, urban interstate.  Northbound there are five travel lanes, a shoulder, and concrete barrier walls on each side.  Conditions were daylight and dry at 1115 h	2	6	4	0	2	2	72	4	58.657
803004792	2001-12-01	11:15	1	1	0	1	Vehicle to object(s) -+- Object on road	4	4	A single vehicle versus pedestrian crash occurred at a 4-leg urban intersection comprised of two roadways.  The southbound roadway consists of five one-way lanes:  the first lane is a right-turn only roadway; the second lane is a through and right turn on	4	57	9	9	2	2	72	4	9.937
803004794	2001-12-01	02:20	4	2	2	0	Multi-vehicle / multi-object -+- Angle/sideswipe	4	4	This crash occurred at 0220 hours on a six lane physically divided wet interstate roadway. Vehicle four a 1996 International tractor pulling one 2001 Reinke flatbed-trailer, was traveling south in the second lane.  Due to an earlier crash that had occurre	2	70	1	1	2	2	72	4	9.937
803004875	2002-01-01	12:36	2	1	1	0	Vehicle to vehicle -+- Angle / sideswipe	3	3	This crash occurred at 1236 hours in the westbound travel lanes on an eight-lane divided urban expressway that is straight and level through the crash location.  The asphalt road surface was dry and no road defects noted.  Opposing lanes of traffic are se	3	30	4	0	2	1	72	4	32.201
803004876	2002-01-01	07:07	3	1	2	0	Multi-vehicle / multi-object -+- Rear end	2	2	A three-vehicle crash occurred on a Wednesday at 0707 hours in the northbound travel lanes of an urban, divided Interstate freeway.  The roadway is comprised of six travel lanes with a center median barrier that divides three lanes in each direction.  The	4	51	4	0	2	1	72	4	58.657
803004932	2002-02-01	05:40	4	1	3	0	Multi-vehicle / multi-object -+- Object on road	4	4	This crash occurred in an interchange area of an urban expressway at 0540 hours.  Vehicle one, a 2001 Hyundai Accent, was traveling Eastbound on a two-lane, one-way ramp over a straight North/South urban expressway.  The overpass ramp had a posted suggest	4	6	2	1	9	1	72	4	9.937
803004952	2002-02-01	11:15	4	2	2	0	Multi-vehicle/ Multi-event -+- Rear end	4	3	This four-vehicle crash occurred on a six-lane Interstate highway.  This section of the highway runs north and south.  This crash occurred on the three northbound lanes.  A concrete barrier separates the north and south lanes.  The northbound lanes curve	7	39	3	2	2	1	72	4	32.201
803005012	2002-02-01	09:35	3	2	1	0	Multi-vehicle / multi-object -+- Angle / sideswipe	2	2	A three-vehicle crash occurred in the northbound lanes of a divided interstate freeway.  This freeway has eight lanes, four in either direction with a concrete barrier dividing the roadways.  This crash occurred on the northbound lanes, which were straigh	3	32	4	0	2	1	72	4	58.657
803005052	2002-02-01	15:00	3	1	2	0	Multi-vehicle / multi-object -+- Object on road	2	2	A three-vehicle crash occurred on a divided six-lane urban interstate freeway at approximately 1500 hours on a weekday.  This interstate was straight, level and dry.  There are four travel lanes going west that are divided from the two eastbound lanes by	2	28	4	0	2	1	72	4	58.657
803005076	2002-03-01	21:30	6	1	4	0	Multi-vehicle/Multi-event -+- Rear-end	2	2	A six-vehicle crash occurred on a ten-lane urban divided interstate highway with a positive barrier at approximately 2100 hours.  The crash occurred in the north and southbound travel lanes.  There are exit and off-ramps throughout the area of the crash,	3	43	3	0	2	1	72	4	58.657
803005172	2002-03-01	13:45	3	1	2	0	Multi-vehicle/Multi-object -+- Rear-end	2	3	This three-vehicle crash occurred in the northbound lanes of a divided interstate freeway.  This freeway has eight travel lanes, with four lanes in either direction.  A concrete barrier divides the travel lanes.  The crash occurred on the northbound lanes	4	12	3	0	2	1	72	4	32.201
803005173	2002-03-01	13:00	2	1	1	0	Multi-vehicle/Multi-object -+- Angle/Sideswipe	2	2	This crash occurred around 1300 hours in the eastbound lanes of a one-way, four-lane, physically divided state freeway.  All four lanes are composed of asphalt, are level, and were dry at the time of the crash.  There were no visibility or sight restricti	7	30	4	0	2	2	72	4	58.657
803005174	2002-03-01	11:25	4	1	3	0	Multi-vehicles -+- Multi-impacts	4	4	This four-vehicle crash occurred on a Sunday at 1145 hours on an urban expressway.  This section of the roadway is curved to the right slightly for northbound travel, and curved to the left slightly for southbound travel. The roadway was level and dry wit	1	6	2	1	1	2	72	4	9.937
803005175	2002-03-01	01:40	3	2	1	0	Multi-vehicle / multi-object -+- Angle / sideswipe	4	4	A three-vehicle crash occurred on a spring night at a junction of two urban interstates in an interchange area.  The right and left Interstates merge together to form one roadway in an upside down "Y" configuration.  The weather was clear and the bitumino	4	48	2	1	9	1	72	4	9.937
803005232	2002-04-01	03:09	3	1	2	0	Vehicle to Vehicle(s) -+- rear end	3	3	A three-vehicle crash occurred on an eight lane urban interstate freeway at approximately 0300 hours.  This freeway is divided with a concrete barrier with four lanes in either direction.  This crash occurred on the southbound lanes.  The roadway is uphil	5	38	3	0	2	1	72	4	32.201
803005295	2002-05-01	10:30	4	2	2	0	Multi-vehicle / multi-object -+- Angle / sideswipe	2	3	A four-vehicle crash occurred on a ten-lane urban interstate freeway.  This interstate is straight, level and dry.  The roadway consisted of five northbound and five southbound lanes that were divided by a concrete barrier wall.  This crash occurred on th	4	13	3	0	2	1	72	4	32.201
803005332	2002-05-01	00:30	3	3	0	0	Multi-vehicle / multi-object -+- Rear end	4	4	A three-vehicle crash occurred a dry, straight, level, eight-lane urban interstate freeway.  There are four lanes in either direction with a concrete barrier dividing the traffic way.  It was dark, but the weather was clear and the roadway was lit by over	2	62	7	1	9	2	72	4	9.937
803005377	2002-05-01	15:21	4	1	3	0	Multi-vehicle / multi-object -+- Angle / sideswipe	3	3	A four-vehicle crash occurred mid-afternoon on an urban eight-lane divided interstate roadway.  A concrete median barrier wall divided the roadway with four lanes on each travel direction.  The crash occurred on the paved concrete southbound travel lanes.	3	16	3	0	2	2	72	4	32.201
803005392	2002-05-01	12:12	2	2	0	0	Vehicle to object(s) -+- Rollover	2	2	This two-vehicle crash occurred on an eight lane interstate freeway.  This freeway is physically divided with four lanes in either direction.  This road is of asphalt construction with no defects noted.  This road is straight and level.  The speed limit i	5	60	4	0	2	2	72	4	58.657
803005393	2002-05-01	10:12	3	1	1	0	Multi-vehicle / multi-object -+- Object on road	2	2	This three vehicle crash occurred on an eight lane physically divided asphalt traffic way.  Concrete barriers way divide this traffic with a commuter rail line in the middle. The westbound roadway has four lanes.  This roadway is straight and level with n	6	67	0	0	2	2	72	4	58.657
803005412	2002-06-01	12:10	2	1	0	0	Vehicle to vehicle -+- Angle / sideswipe	1	2	This two-vehicle crash occurred on a six lane physically divided asphalt trafficway.  This trafficway is divided by a center concrete median, with three lanes in each direction.  The crash occurred on the southbound lanes, which is bordered on the west by	3	1	4	0	2	2	72	4	58.657
803005413	2002-06-01	13:15	3	2	1	0	Multi-vehicle / multi-object -+- Rear end	2	2	This crash occurred during daylight hours at approximately 1315 hours. The weather was clear and dry and the roadway was level with no visibility restrictions. This incident occurred in the southbound travel lanes of an urban divided interstate freeway.	4	32	4	0	2	1	72	4	58.657
803005612	2002-08-01	12:55	2	1	1	0	Multi Vehicles -+- multi events	3	3	This crash occurred at 1255 hours on an urban Interstate.  The travel lanes were dry with no surface defects and there were no adverse weather conditions at this time.  Vehicle one, a 2001 Ford Escort, was traveling westbound in the first lane of an 8-lan	2	30	3	0	2	2	72	4	32.201
803006053	2002-12-01	19:20	1	1	0	1	Vehicle to object(s) -+- Object on road	4	4	A single vehicle/pedestrian crash occurred on a multi-lane intersection.  This intersection has four one-way lanes that run north through the intersection.  The east and west road has multiple lanes going in either direction.  This crash occurred between	7	57	0	0	2	2	72	4	9.937
803006432	2003-04-01	11:32	4	2	2	0	Multi-vehicle to object(s) -+- Angle/sideswipe	2	2	A four-vehicle collision occurred on a ten-lane urban interstate freeway at approximately 1130 hours on a weekday.  This roadway consists of five southbound and five northbound lanes, separated by a concrete barrier.  The northbound travel lanes were not	3	24	0	0	2	1	72	4	58.657
803006512	2003-04-01	13:25	3	1	2	0	Multi-vehicle -+- Rear end	3	3	A collision involving three vehicles occurred on a divided urban interstate in the early afternoon with clear weather conditions in the daylight.  The crash occurred in the northbound lanes of which there were four. Each of the four lanes was distinguishe	1	22	3	0	2	2	72	4	32.201
803006532	2003-04-01	07:25	2	1	1	0	Vehicle to vehicle -+- Rear end	4	0	A two-vehicle crash occurred on an eight-lane urban interstate freeway during the morning rush hour at approximately 0730 hours.   This freeway has four lanes in either direction with a concrete median barrier.  There are two concrete barriers, one on eit	3	30	2	2	2	1	72	4	0
804003948	2001-11-01	10:20	2	1	1	0	Vehicle to vehicle -+- Angle / sideswipe	2	2	Vehicle #1, a 2000 Nissan Altima, 4door sedan, was traveling Westbound in lane two, on a eight-lane concrete divided highway, four Eastbound and four Westbound. At pre impact, the roadway was straight and level and the weather condition was dry with no ad	6	30	4	0	2	2	6	1	29.901
804003987	2001-11-01	06:53	1	1	0	0	Vehicle to object -+- Rollover	2	2	Vehicle #1, a 1989 Kenworth truck tractor, was traveling Westbound in lane two, on a four lane divided highway, two Eastbound and two Westbound. The truck tractor did not have a trailer attached. The roadway was level and wet. Ahead westward, approximatel	3	57	3	0	2	1	6	1	29.901
805004211	2001-08-01	14:43	2	1	1	0	Large truck / pickup -+- rear end	3	2	V2 was a 1999 Mack RD6885 four axle dump truck with two occupants. The vehicle was empty and the lift axle (axle #2) was not in use. V1 was a 2001 Chevrolet Silverado pick up with three occupants.  The crash occurred on a four lane asphalt roadway at a po	7	54	4	0	2	1	8	2	206.963
805004212	2001-08-01	10:46	3	1	2	0	Heavy truck/ large utility -+- Acute angle	0	0	V3 was a Mack straight dump truck fully loaded with small stone. V3 was traveling in the southeast-bound lane of a two lane roadway. V1, a 2001 Chevrolet Tahoe, and V2, a 1989 Oldsmobile Cutlass Ciera, were traveling in the northwest-bound lane. V1 was in	4	22	0	0	2	1	8	2	0
805004751	2002-02-01	23:30	2	1	1	0	Large pickup /Tractor trailer -+- rear end	1	3	Vehicle 1 was a 1990 GMC Sierra pickup truck. Vehicle 2 was a 1997 Peterbilt model 379 tractor towing one empty tank trailer.	This crash occured in the left of two southbound lanes on a four lane level asphalt roadway. The approach to the point of impact	3	54	3	0	1	2	8	2	321.67
805004831	2002-03-01	11:58	2	1	1	0	car / heavy dump truck -+- right angle	1	1	V1 was a 1994 Oldsmobile Cutlass Ciera with two occupants, V2 was a 1996 Mack RD688S straight dump truck which was empty. There was one occupant in V2 and the cargo box was empty.  The crash occurred on a straight northbound section of a two lane, divided	2	30	4	0	2	1	8	2	0
805004931	2002-04-01	07:28	1	1	0	0	Tractor trailer -+- rollover on road	0	0	V1 was a 1994 Freightliner FLD 3176B conventional tractor that was towing a semi-trailer. An inter-modal container fully loaded with brake drums was attached to the trailer. The driver and only occupant of the vehicle was not injured.  The two lane roadwa	6	57	0	0	9	1	8	2	0
805004956	2002-04-01	07:22	4	1	3	0	Tractor trailer / car -+- right angle	3	3	V1 was traveling east at a "T" intersection on the bottom leg of the "T". V4, a tractor trailer, was traveling south through the intersection. V2 was stopped heading north at the intersection waiting to turn left (west). V3 was traveling north behind V2.	2	6	3	0	9	1	8	2	321.67
805005055	2002-05-01	18:03	1	1	0	0	Tractor Trailer -+- Rollover off road	2	2	V1 was a Freightliner conventional tractor towing one "covered wagon" flatbed trailer. The trailer was loaded with one group of three 10" steel coils. The coils were located just forward of the fourth axle. The fourth axle was positioned three meters forw	2	57	5	0	2	2	8	2	206.963
805005276	2002-08-01	07:30	1	1	0	0	Straight truck -+- Rollover on road	2	3	V1, a 1995 GMC straight truck with a mounted refrigerated cargo box, was traveling southeast on a two lane roadway, negotiating a curve to the right. The driver of V1 made a sudden left turn (to travel east) at an intersection, an action that caused the v	6	57	3	0	1	1	8	2	321.67
805005515	2002-10-01	16:52	2	1	1	0	Tractor without trailer / Van -+- acute angle	2	3	V1 was traveling north on a two lane roadway negotiating a curve to the left. V2 was traveling south in the southbound lane. V2 lost control and rotated counterclockwise. The front of V1 contacted the right front of V2. V1 was pushed off the east road edg	6	66	4	0	2	2	8	2	321.67
805005951	2003-03-01	09:19	2	1	1	0	Vehicle to vehicle -+- Rear end	5	2	V1 was A 1994 Ford E250 cargo van, V2 was a 1999 Mack RD688S straight dump truck. V1 was a plumbing contractor's van that was loaded with plumbing equipment, and V2 was fully loaded with stone. There was one occupant in each vehicle.  Both vehicles were h	2	66	6	0	2	2	8	2	206.963
806003634	2001-03-01	10:07	1	1	0	0	SINGLE TRUCK -+- Road departure / Rollover	1	1	Vehicle one, a 1996 Kenworth tractor-trailer, was traveling on an interchange between two interstate highways. The trailer was an open top van loaded with construction debris. The truck driver appartently entered this exit ramp at too high a rate of speed	5	57	0	0	2	2	9	8	0
806003794	2001-05-01	13:23	2	1	1	0	Car / Tractor - Trailer -+- Sideswipe - underride	4	4	Vehicle one, a 1998 Honda Civic, was travelling eastbound on a four lane divided roadway in lane one. The driver of this vehicle apparently suffered a seizure while driving. He reported this to officers at the scene following the accident. The seizure cau	3	30	3	1	2	1	9	8	216.96
806004155	2001-08-01	09:52	3	1	2	0	CAR / CAR / TRUCK -+- MULTIPLE IMPACTS	3	2	Vehicle one, a 1995 Saturn, and vehicle three, a 1995 GMC tractor with trailer, were traveling southbound on a four lane divided interstate. Vehicle three was traveling in lane three and vehicle one was traveling in lane two slightly behind vehicle three.	3	12	4	0	2	1	9	8	468.821
806004294	2001-09-01	12:48	2	1	1	0	CAR / TRUCK -+- HEAD-ON	3	3	Vehicle one, a 1998 Ford F150, was traveling south on a six lane divided roadway. For unknown reasons vehicle one moved towards the center median and collided with the curb (event one). Vehicle one crossed into the opposing lanes traveling the opposite di	2	54	3	0	2	1	9	8	756.035
806004734	2002-02-01	06:37	2	1	1	0	Tractor-trailer / car -+- Severe underride	4	4	Vehicle 1, a 1998 Chevrolet Prism, was traveling north in lane one of a two lane divided highway at dawn approaching a controlled intersection. Vehicle 2, a 2002 Volvo tractor pulling one trailer, was traveling south on the same highway in lane two of the	6	30	0	1	2	1	9	8	216.96
806004774	2002-02-01	10:58	3	1	2	0	Multiple Vehicles -+- Rear end	4	4	Vehicle one, a 1997 Ford Escort was traveling south in lane two of a four lane, divided highway.  Vehicle two, a 2001 Chevrolet Impala, was traveling in the same direction in lane one, slightly ahead of vehicle one.  Vehicle one moved into lane one and co	2	12	4	1	2	1	9	8	0
806005559	2002-11-01	12:17	5	2	3	0	Multiple Vehicle -+- Multiple Impact	1	2	Vehicles 1, 2, and 3 were stopped facing southbound in lane 3 of a four-lane, divided, bituminous roadway during daylight hours.  Vehicle 4, a straight truck, was traveling southbound in lane 2.  Vehicle 5, another straight truck, was traveling southbound	4	26	4	0	2	2	9	8	468.821
806005615	2002-11-01	08:52	4	1	3	0	Multi-vehicles/multi-objects -+- Angle/sideswipe	3	3	Vehicles 1 and 3 were traveling north in lane one on a dry, bituminous, four-lane, divided roadway during daylight hours.  V2 was traveling in lane two on the same roadway.  They were traveling below the posted speed limit of 55mph because of heavy traffi	4	16	3	0	2	1	9	8	756.035
806005694	2002-12-01	21:44	2	1	1	0	Vehicle to Vehicle -+- Head-on	3	3	Vehicle 1, a '99 Mazda Protege, was traveling north on a level, 6-lane, divided, 55mph, dark but lighted, bituminous, interstate roadway.  Vehicle 2, a '97 International tractor carrying a HazMat semi-trailer, was traveling southbound down a 3% grade, in	3	30	7	0	2	1	9	8	756.035
806005695	2002-12-01	16:21	2	1	1	0	Vehicle to Vehicle -+- Right Angle	3	4	Vehicles one and two were traveling southbound on a wet and slightly icy, 4-lane, divided roadway during daylight hours.  V1 was traveling in lane one and v2 was traveling in lane three.  The driver of v1 lost control of her vehicle.  Witness accounts var	5	30	3	1	2	2	9	8	216.96
806005720	2002-12-01	14:43	2	1	1	0	Multi-vehicle / Multi-object -+- Rear end	3	3	Vehicle one, a light duty box truck, was stopped facing south in lane 2 at a stoplight on a divided 6-lane highway during daylight hours.  Lane one was a right turn only lane, lane two was a straight lane.  Vehicle two, a heavy 3-axle refuse hauler, was t	2	66	3	0	2	1	9	8	756.035
806005734	2002-12-01	04:35	1	1	0	0	Vehicle to Object -+- Rollover	3	3	Vehicle one is a tractor-trailer tanker unit.  It was traveling southbound in lane one on a lighted, wet, 5-lane, divided highway at night in the rain.  V1 then traveled off the right side of the roadway just after an exit off ramp to the right.  V1's rig	6	57	3	0	2	1	9	8	756.035
806005814	2003-01-01	10:01	3	2	1	0	Multi-vehicle -+- Rear end	2	2	Vehicles one, two, and three were southbound in lane 3 of a three-lane, bituminous, 55mph roadway in clear weather conditions with heavy traffic.  As they progressed, the paved shoulders were replaced by a barrier wall on the left and a guardrail on the r	5	32	3	0	2	2	9	8	468.821
806005874	2003-01-01	03:07	3	1	2	0	Multi-vehicle -+- Angle/sideswipe	4	4	Vehicle 1 was a 2000 Dodge Neon and Vehicle 2 was a 1992 Geo Storm.  Vehicle 3 was a 2000 Freightliner Classic tractor with semi-trailer.  V2 was following V3 southbound in lane 3 of a four-lane, bituminous, divided, 55mph highway with positive barrier an	5	12	4	1	1	1	9	8	216.96
806005979	2003-02-01	16:40	2	1	1	0	Vehicle to vehicle -+- Rear end	4	4	Vehicle one was traveling southbound on a 4-lane (in each direction) interstate highway with paved shoulders.  Vehicle two, a tractor-dump trailer, was stopped facing southbound in the right shoulder to repair a flat tire.  The conditions were daylight an	6	66	3	1	1	2	9	8	0
806006034	2003-03-01	11:51	2	1	1	0	Vehicle to vehicle -+- Angle/sideswipe	2	2	Vehicles one and two were traveling southbound on a 55mph, level grade, bituminous, 4-lane (each direction), divided roadway in clear, daylight conditions.  V1, an '89 Honda Accord, was in the third lane of travel and V2, a '91 Mack tractor with semi-trai	6	30	4	0	2	1	9	8	468.821
806006134	2003-04-01	14:00	2	2	0	0	Vehicle to vehicle -+- Angle/sideswipe	2	3	Vehicle 1, a '99 Ford F450 wrecker, was stopped facing east on a flat grade, 2-lane, bituminous roadway at a large intersection during daylight hours on a clear day.  Vehicle 2, a '98 International 940 bobtail tractor, was traveling north up a slight grad	5	60	3	0	2	1	9	8	756.035
806006194	2003-04-01	05:13	1	1	0	0	Vehicle to Object(s) -+- Object off road	3	3	Vehicle one, a 2000 International 4900 straight truck, was traveling Southwest on a two-lane, undivided, bituminous, 50 mph, rural roadway at dawn in clear weather conditions.  The vehicle had just negotiated a curve to the right on a downhill grade of 4%	5	57	3	0	2	2	9	8	756.035
807004025	2001-03-01	03:50	1	1	0	0	Single vehicle to object -+- Object off-road	4	6	Vehicle 1, a 1994 Freightliner tractor pulling a single semi trailer, was northbound in lane 1 of the 2 northbound lanes of a controlled access, interstate roadway with a positive median barrier (metal guardrail).  Vehicle 1 "drifted" into lane 2, then dr	6	57	1	1	2	1	11	6	0
807004125	2001-04-01	16:25	2	1	1	0	Vehicle to Vehicle -+- Head on/multiple events	4	4	Vehicle 1, 1984 Oldsmoble station wagon, was westbound on a 2 lane, rural minor arterial roadway.  Vehicle 2, 2001 Isuzu NPR/W series straight truck >4536 kgs GVRW, was eastbound in the same roadway.  Vehicle 1 crossed the center line.  Vehicle 1, front,	2	30	3	1	2	1	11	6	21.198
807004126	2001-05-01	10:15	2	1	1	0	Vehicle to vehicle -+- Angle	2	2	V2, a 1998 Freightliner straight truck/moving van, had arrived at a local terminal to pick up a load of household goods. The terminal has a scale where the truck is weighed before loading. the driver had spent the previous night at a motel and was on time	4	30	3	0	9	1	11	6	125.127
807004209	2001-05-01	16:45	2	1	1	0	Vehicle to vehicle -+- Angle-Front to side	3	3	Vehicle 1, a 1991 Mitsubishi 4 door, was northbound in lane 1 of a dry, 2 lane, not physically divided, 2 way, bituminous roadway. The roadway was dry and slightly uphill. V2 was southbound in lane 1 of the same roadway. There were no adverse weather cond	4	30	3	0	2	1	11	6	68.691
807004325	2001-07-01	00:37	1	1	0	1	Vehicle to Object/Intraunit -+- Angle/Jacknife	4	4	The crash occurred at 00:37 in a dark but lighted intersection.  Vehicle 1, A 1992 Freightliner conventional cab with sleeper, was pulling an empty van semi trailer. The truck was NB in lane 2 of a three lane straight, dry, urban, divided highway.  A peda	3	57	4	0	2	2	11	6	21.198
807004390	2001-07-01	17:41	3	1	2	0	Large truck vs car vs car -+- multiple impacts	4	4	Vehicle 1 was attempting to turn left at a T intersection from a 3 lane (rt turn, lft turn and oncoming) from a minor, urban, side street controlled by a stop sign onto a 5  lane, major, urban, non-freeway, arterial roadway.  V1 was facing NB turning WB.	6	12	4	1	1	1	11	6	21.198
807004589	2001-09-01	17:02	4	1	3	0	Multi-vehicle -+- Rear end/multiple impacts	2	2	The scene of the crash consists of an urban six lane interstate with three lanes westbound which conform to the sight/stopping distances required by AASHTO.  The bituminous roadway is slightly downhill, curves slightly to the left and is separated from th	6	6	4	0	2	1	11	6	125.127
807004645	2001-10-01	11:30	2	1	1	0	Vehicle to vehicle -+- Angle/truck vs car	3	3	Vehicle 1, a 1996 Ford Contour containing a single occupant, was westbound in lane 2 of a 3 lane interstate.  Vehicle 2, a 2000 Freightliner conventional tractor containing a single occupant and pulling a van semi trailer, was westbound in lane 1 of the s	5	30	3	0	2	1	11	6	68.691
807004685	2001-10-01	01:33	2	1	1	0	vehicle to vehicle -+- angle	1	2	Vehicle 1, a 1999 Ford Escort 4 door, was southbound in lane 2 of an urban, bituminous, minor collector.  Vehicle 2, a 2000 Ford Sterling 35000lb GVWR straight truck, was westbound in lane 2 of an urban, bituminous, major collector.  Both vehicles were pa	7	30	4	0	1	2	11	6	125.127
807004809	2001-11-01	07:35	2	1	1	0	Vehicle to vehicle -+- Angle	3	3	The point of impact occurred in the intersection of 2 heavily traveled, 2 lane, blacktop, rural collectors controlled by  4 way stop signs and a 4 way flashing red light.  The intersection is wide open with no sight restrictions, well marked and level.  T	7	66	3	0	2	1	11	6	68.691
807004845	2001-12-01	04:25	1	1	0	1	Vehicle to non-motorist -+- non-collision/truck vs	4	4	Vehicle 1, a 1999 Volvo conventional tractor pulling a single Utility refrigerated van semi trailer, was traveling westbound in lane 2 of a 4 lane (2 lanes each way), bituminous, divided without a positive barrier, interstate roadway.  The non-motorist, a	3	57	0	0	2	2	11	6	21.198
807004925	2001-12-01	17:40	2	1	1	0	Vehicle to vehicle -+- Angle/sideswipe-rollover	2	2	Vehicle 1, a 1996 Dodge Neon, was westbound in lane 2 of a 3 lane (each direction), divided with median and positive barrier, interstate roadway.  Vehicle 2, a 1999 International Harvester conventional day cab tractor pulling a flatbed semi trailer loaded	5	30	3	0	2	1	11	6	125.127
807004985	2001-12-01	10:28	4	1	3	0	Multi-vehicle -+- Object off-road/rear end/angle	3	3	Vehicle 1, a 1998 Honda Civic 4 door, was eastbound in lane 3 of a 3-lane interstate with a median. V1 lost control, spun out, struck the south guardrail with its rear and came to a stop in lane 1 of the roadway facing north.  Vehicle 2, a 2002 Ford Musta	3	10	3	0	2	1	11	6	68.691
807005025	2002-01-01	18:20	1	1	0	1	Vehicle to object (pedestrian) -+- Noncollision	3	3	Vehicle 1, a 1999 Freightliner conventional tractor pulling a 2000 Trailmobile semi van trailer, was eastbound in lane one of a 2 lane (eastbound), urban primary connector (expressway).  The 2  eastbound lanes were separated from the 2 westbound lanes by	7	57	0	0	2	2	11	6	68.691
807005026	2002-01-01	06:45	1	1	0	0	Single vehicle to objects -+- Rollover	2	2	Vehicle 1, a 1998 Freightliner step van, was in lane one of  two southbound lanes of a four lane, bituminous, interstate roadway.  The roadway was straight, level and conformed to AASHTO sight/stopping distance requirements.  There were no restrictions or	2	57	4	0	2	2	11	6	125.127
807005027	2002-01-01	07:10	2	1	1	0	Vehicle to vehicle -+- Angle-side to rear	4	4	Vehicle 1, a 1999 Plymouth Breeze, was southbound in lane 2 of the 2 southbound lanes of a 4 lane interstate. The northbound and southbound lanes were divided by a grassy median.  Vehicle 2,  a 2001 International medium sized tow truck, was standing, unoc	2	30	0	1	2	2	11	6	0
807005129	2002-03-01	09:05	2	1	1	0	Vehicle vs Vehicle -+- Front to Side	3	3	Vehicle 1, a 1987 Ford F-150 pickup, was southbound intending to make a left turn at a controlled intersection from the left turn lane of a 4 lane, bituminous roadway.  Vehicle 2, a 2000 Freightliner conventional tractor pulling a 53' Utility, refrigerate	2	54	3	0	9	1	11	6	68.691
807005165	2002-03-01	14:36	2	1	1	0	Vehicle to objects -+- Object on rd, vehicle vs ca	4	4	V1 was traveling southbound on a two-lane highway in dry, daylight conditions intending to continue straight.  V2, a heavy truck with an oversized load, was also traveling southbound in lane one of the same highway.  The heavy truck was being followed by	2	47	3	1	2	1	11	6	21.198
807005185	2002-03-01	06:01	2	1	1	0	Vehicle to vehicle -+- Rear end/objects off road	2	2	Vehicle 1, a 2000 Chevrolet Lumina, was northbound in lane 1of 2 northbound lanes of a 4 lane interstate divided by a guardrail.  Vehicle 2, a 1990 Peterbilt conventional tractor pulling a single Transcraft semi flatbed trailer, was northbound in the same	6	30	4	0	2	1	11	6	125.127
807005329	2002-04-01	14:56	3	2	1	0	Multi-vehicle/large trucks -+- multiple impacts	4	4	Vehicle 1, a 2000 Chrysler 300M, was southbound on the entrance ramp to the two southbound lanes of a 4 lane, urban, bituminous, divided, interstate roadway.  Vehicle 2, a 1998 Volvo conventional tractor pulling an empty 1999 Great Dane van semi trailer,	4	32	2	1	1	1	11	6	21.198
807005330	2002-04-01	00:54	2	1	1	0	Vehicle to vehicle -+- Angle	4	4	Vehicle 1, a 1999 Ford Expedition large utility vehicle, was westbound in lane 2 of a 3-lane, bituminous, 2-way state highway.  Vehicle 1 was passing through a signalized intersection with a  physically divided, 6-lane, bituminous, state highway.  Vehicle	5	47	4	1	2	2	11	6	21.198
807005465	2002-06-01	17:36	1	1	0	0	Vehicle to object -+- Object in road	3	3	Vehicle 1, a 2000 International conventional tractor pulling a 1994, 36' Utility refrigerated van semi trailer containing 23kg of food, was southbound in lane one of a 4-lane, undivided, urban roadway.  The driver was  attempting to turn right (west) into	3	57	3	0	2	2	11	6	68.691
